案類,發生日期,發生地點
搶奪,0930823 2000,台中市西屯區河南路上安路口
搶奪,0930823 2315,台中市北區天津路2段30巷
搶奪,0930824 0035,台中市中區中華路1段195號
搶奪,0930824 1400,台中市北區永興街298巷
搶奪,0930824 1530,台中市西區五權成功路
搶奪,0930824 1830,台中市北屯區中清路13巷50弄10號
搶奪,0930824 1910,台中市西區美村路73號
搶奪,0930824 2000,台中市北區雙十.育才路口
搶奪,0930824 2242,台中市南區南門里南門路75號三信銀行提款機
搶奪,0930824 2310,台中市西屯區文華路217巷
搶奪,0930825 1510,台中市東區進化路221巷1-6號前樓
搶奪,0930825 1900,台中市北區永興街77號
搶奪,0930825 2110,台中市西區民族路333號
搶奪,0930826 0440,台中市中區公園大誠路
搶奪,0930826 1130,台中市西區自由與民族路口
搶奪,0930826 1320,台中市北區梅亭.華信
搶奪,0930826 1410,台中市北屯區長生巷4-23號
搶奪,0930826 1430,台中市北屯區昌平一路200號
搶奪,0930826 1520,台中市西區五權西屯路
搶奪,0930826 1730,台中市西區大仁.西屯路
搶奪,0930826 1745,台中市北區漢口山西路
搶奪,0930826 1950,台中市西屯區大有街大有二街口
搶奪,0930826 2100,台中市東區進德二街與進德路口
搶奪,0930826 2250,台中市北區一中.育才街
搶奪,0930827 0920,台中市東區自強街31巷28號
搶奪,0930827 0940,台中市北區漢口.永興路
搶奪,0930827 1100,台中市中區民權路與自由路口
搶奪,0930827 1110,台中市中區民族與柳川東路口
搶奪,0930827 1120,台中市北區大雅路62號
搶奪,0930827 1420,台中市西區中美路321號
搶奪,0930827 2025,台中市北屯區旅順路1段256號
搶奪,0930827 2100,台中市西屯區福星路669號
搶奪,0930827 2100,台中市西屯區河南路市政北六路口
搶奪,0930828 0010,台中市西區中興明義路
搶奪,0930828 0100,台中市西區柳川東路2段131號
搶奪,0930828 0410,台中市北區大雅英才路口
搶奪,0930828 0415,台中市北區大雅路452號
搶奪,0930828 0600,台中市西屯區朝馬三街32號
搶奪,0930828 1030,台中市西區公正中美路
搶奪,0930828 1210,台中市西區後龍路57號
搶奪,0930828 1305,台中市中區成功路228巷4號
搶奪,0930828 1310,台中市西區中港路1段199巷
搶奪,0930828 1330,台中市西屯區大洲街27號
搶奪,0930828 1650,台中市西區中港路283巷5號
搶奪,0930828 1720,台中市西區公益路124巷31號
搶奪,0930828 1800,台中市西屯區太原路華美西街口
搶奪,0930828 1930,台中市西區民權路225巷
搶奪,0930828 1930,台中市西區公益精誠路
搶奪,0930828 2110,台中市北區英才.五常街口
搶奪,0930828 2230,台中市西區公益路中美街口
搶奪,0930828 2305,台中市北屯區雷中街38巷
搶奪,0930828 2315,台中市西區五權西路
搶奪,0930828 2315,台中市西區五權西路美術館前
搶奪,0930829 0430,台中市北屯區漢口路5段128號
搶奪,0930829 0430,台中市西屯區青海路2段204號
搶奪,0930829 0836,台中市東區大勇街與信義街口
搶奪,0930829 1830,台中市南屯區大墩12街與大昌街口
搶奪,0930829 2216,台中市西區中港中美路
搶奪,0930829 2230,台中市中區成功路
搶奪,0930829 2245,台中市北區育才街35號
搶奪,0930830 0945,台中市中區中華公園路
搶奪,0930830 1000,台中市南區文林街18巷7號前樓
搶奪,0930830 1016,台中市西區英才自治路
搶奪,0930830 1140,台中市東區干城里新民街69號對面
搶奪,0930830 1150,台中市北區學士.美德街口
搶奪,0930830 1150,台中市西屯區逢甲路73號
搶奪,0930830 1210,台中市西屯區西屯路2段269號之2
搶奪,0930830 1300,台中市北區英士路50號
搶奪,0930830 1319,台中市北區五權路332號
搶奪,0930830 2035,台中市北區天津二段北平路口
搶奪,0930831 0130,台中市南屯區中蔗路與工業37路口
搶奪,0930831 0700,台中市南區文心南路641號西歐加油站
搶奪,0930831 0830,台中市南屯區黎明路與文昌街口
搶奪,0930831 1230,台中市北區學士路210號
